file,column,data_type,units,min,max,definition
MARCH2025_OBJECTIVES_20042026.xlsx,polyID_unique,numeric,,1,1541,This attribute (polyID_unique) is a unique integer identifier assigned to each polygon record in the dataset. All 979 records are populated with no missing values. There are 979 unique values ranging from 1 to 1541.
MARCH2025_OBJECTIVES_20042026.xlsx,combined_polyID_og,numeric,,16,22147,"This attribute (combined_polyID_og) is the original polygon ID from the source database prior to any combining or processing steps. All 979 records are populated. There are 965 unique values ranging from 16 to 22147, indicating a small number of polygons share an original ID."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_trtYear,numeric,year (YYYY),1991,2018,This attribute (combined_trtYear) is the 4-digit year in which the land treatment was carried out. All 979 records are populated with no missing values. There are 28 unique year values ranging from 1991 to 2018.
MARCH2025_OBJECTIVES_20042026.xlsx,combined_post_fr,text,Y / N,,,This attribute (combined_post_fr) is a binary flag indicating whether the treatment polygon is associated with a post-fire context (Y) or not (N). All 979 records are populated. There are 2 unique values: 'Y' and 'N'.
MARCH2025_OBJECTIVES_20042026.xlsx,combined_trtID,text,,,,"This attribute (combined_trtID) is the treatment action ID(s) from the source database. Multiple IDs may be present for a single polygon, separated by commas. All 979 records are populated. There are 976 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_ActnDsc,text,,,,"This attribute (combined_ActnDsc) is a high-level description of the treatment action category as recorded in the source database. All 979 records are populated. There are 165 unique values representing combinations of treatment method categories (e.g., 'Herbicide/Weeds/Chemical', 'Vegetation/Soil Manipulation; Seeding', 'Prescribed Burn')."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_data_source,text,,,,This attribute (combined_data_source) is the data source from which the treatment records were obtained. All 979 records are populated. There are 2 unique values: 'LTDL' (Land Treatment Digital Library) and 'WRI' (Wildlife Resources Initiative or similar agency source).
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_ID,text,,,,"This attribute (combined_Trt_ID) is the treatment ID(s) as stored in the source system, with multiple IDs separated by semicolons. This field parallels combined_trtID but uses semicolon delimiters. All 979 records are populated. There are 977 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Objectives,text,,,,"This attribute (combined_Objectives) is a free-text description of the stated management objectives for the treatment, drawn from source documentation. Multiple objectives may be concatenated with semicolons. This field is populated for 236 of 979 records (24%); 743 records contain missing values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Treatment_Type,text,,,,"This attribute (combined_Treatment_Type) is a detailed description of the treatment type(s) applied, including method and target vegetation (e.g., 'Herbicide Application: Brush/Tree Control', 'Soil Disturbance: Chaining;Ground Seeding: Dribble'). Multiple types are separated by semicolons. This field is populated for 279 of 979 records (29%)."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_T_S,text,,,,"This attribute (combined_Trt_T_S) is a simplified or standardized short-form treatment type category, potentially derived from combined_Treatment_Type. This field is populated for 279 of 979 records (29%). There are 68 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_T_M,text,,,,"This attribute (combined_Trt_T_M) is a medium-level treatment type category that groups treatments into broader classes using a semi-controlled vocabulary. Treatment categories include: 'Herbicide/Weeds/Chemical', 'Vegetation/Soil Manipulation', 'Seeding', and 'Prescribed Burn', which may appear alone or in semicolon-separated combinations. This field is populated for 279 of 979 records (29%). There are 22 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Planned_Implementation,text,,,,"This attribute (combined_Planned_Implementation) is free-text documentation of the planned implementation methods, specifications, and operational constraints for the treatment, drawn from project planning documents. Multiple planned actions may be separated by semicolons. This field is populated for 250 of 979 records (26%)."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Actual_Implementation,text,,,,"This attribute (combined_Actual_Implementation) is free-text documentation describing how the treatment was actually carried out, including contractor information, acreage completed, equipment used, and methods employed. Multiple actions may be separated by semicolons. This field is populated for 193 of 979 records (20%)."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_Concerns,text,,,,"This attribute (combined_Trt_Concerns) is a comma-separated list of resource concerns or management goals that motivated the treatment (e.g., 'Forage for wildlife', 'Fire hazard', 'Rangeland health', 'Invasion by Cheatgrass'). This field is populated for 273 of 979 records (28%). There are 245 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_Concerns_Desc,text,,,,"This attribute (combined_Trt_Concerns_Desc) is a free-text narrative elaborating on the treatment concerns, providing ecological and management context, historical background, and rationale for the treatment. This field is populated for 262 of 979 records (27%). There are 248 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,Objective_notes1,text,,,,"This attribute (Objective_notes1) is a supplementary classifier note on the treatment objective, including directionality flags (e.g., 'multi_directional'), caveats about seed lists, or reviewer observations. This field is populated for 266 of 979 records (27%). There are 38 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,Objective_notes2,text,,,,"This attribute (Objective_notes2) is a secondary supplementary classifier note elaborating on the treatment objective with more specific vegetation targets or actions (e.g., 'remove sagebrush, seeded shrubs', 'remove cheatgrass, seeded sweetclover'). This field is populated for 217 of 979 records (22%). There are 165 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,OBJECTIVE,text,,,,"This attribute (OBJECTIVE) is a standardized coded summary of the treatment objective using a controlled vocabulary of directional vegetation change codes. Component codes include: increase_PFG, decrease_PFG, increase_SHR, decrease_SHR, increase_TRE, decrease_TRE, increase_AFG, decrease_AFG, null_AFG, and 'multi_directional'. Multiple codes are comma-separated. This field is populated for 921 of 979 records (94%). There are 45 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_FeatureID,numeric,,,,This attribute (combined_FeatureID) is a feature identifier intended to link records to a spatial or source database feature. This field contains no populated values across all 979 records (100% missing).
MARCH2025_OBJECTIVES_20042026.xlsx,Initials,text,,,,"This attribute (Initials) is the initials or identifier of the data classifier or reviewer who processed and assigned the OBJECTIVE code for the record. This field is populated for 978 of 979 records. There are 27 unique values, some of which include inline notes or corrections appended to the initials string."
MARCH2025_OBJECTIVES_20042026.xlsx,NOTES from classifier (HML or WR),text,,,,"This attribute (NOTES from classifier (HML or WR)) is free-text notes from the data classifier explaining classification decisions, uncertainties, or caveats about the assigned objective. This field is populated for 88 of 979 records (9%). There are 87 unique values. The field name references two specific classifiers identified by initials 'HML' and 'WR'."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Project.Narrative,text,,,,"This attribute (combined_Project.Narrative) is a free-text narrative description of the overall project, including ecological context, treatment rationale, site conditions, and implementation observations. This field is populated for 678 of 979 records (69%). There are 663 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Final.Methods,text,,,,"This attribute (combined_Final.Methods) is a free-text description of the final methods actually applied in the treatment, which may differ from planned methods, including equipment, rates, timing, and acreage details. This field is populated for 700 of 979 records (72%). There are 693 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_ActionDescription,text,,,,"This attribute (combined_ActionDescription) is a semi-structured description of the treatment action(s) applied, using a partially controlled vocabulary of action types (e.g., 'Herbicide application', 'Aerator', 'Seeding (primary)'). Multiple actions are separated by semicolons. This field is populated for 700 of 979 records (72%). There are 147 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_TreatmentTypeDescription,text,,,,"This attribute (combined_TreatmentTypeDescription) is a descriptive label specifying the equipment type or implementation method used in the treatment (e.g., 'Broadcast (aerial-fixed wing)', 'Skid steer', 'Full size'). This field is populated for 245 of 979 records (25%). There are 73 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_HerbicideDescription,text,,,,"This attribute (combined_HerbicideDescription) is a description of the herbicide(s) applied during the treatment, using product name identifiers. Multiple herbicides are separated by semicolons. This field is populated for 24 of 979 records (2%). There are 13 unique values including: '2 4-D;Tordon', 'Arsenal', 'Curtail', 'Garlon 3A', 'Garlon 4', 'Milestone', 'Plateau', 'Rodeo', 'Roundup', 'Spike', and 'Tordon 22k'."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_TREATMENT_ASSIGNMENT,text,,,,"This attribute (combined_TREATMENT_ASSIGNMENT) is a standardized coded assignment of the treatment method(s) using an underscore-separated label system (e.g., 'Vegetation Removal_mechanical', 'Ground Seeding', 'Soil Disturbance_mechanical'). Multiple assignments are separated by semicolons. All 979 records are populated with no missing values. There are 152 unique values."
